FooDB_Id,FooDB_Name,Density (g/ml),Unit_Weight (g)
1,Angelica,0.884,
3,Silver linden,1.046,
4,Kiwi,0.57,125
5,Allium,0.574,50.5
6,Garden onion,0.403,70.44
7,Leek,0.38,322
8,Garlic,0.574,50.5
10,Lemon verbena,0.89,
11,Cashew nut,0.545,6.71
12,Pineapple,0.7,1587.57
13,Dill,0.888,
16,Peanut,0.905,0.8
17,Burdock,0.53,226.796
18,Horseradish,0.61,
19,Tarragon,0.32,
20,Mugwort,0.927,
21,Asparagus,0.57,16
22,Oat,0.3815,
23,Star fruit,0.56,91
24,Brazil nut,0.504,5
25,Common beet,1.16,120
26,Borage,0.9175,
28,Swede,0.69,900
31,Cauliflower,0.45,1200
32,Brussel sprouts,0.37,200
33,Kohlrabi,0.57,200
34,Broccoli,0.37,500
36,Turnip,0.69,150
37,Pigeon pea,0.855,
38,Tea,1,
39,Capers,0.58,
40,Pepper,0.44,25
41,Papaya,0.965,680
42,Safflower,0.921,
43,Caraway,0.45,
44,Pecan nut,0.481,1.8
45,Chestnut,0.56,5
47,Chickpea,0.69,
48,Endive,0.21,85
49,Chicory,0.38,35
53,Lime,0.912,70
54,Lemon,0.95,120
55,Pummelo,0.8,1500
56,Mandarin orange,0.44,120
57,Sweet orange,0.44,120
58,Coffe,1,
59,Arabica coffee,1,
61,Coriander,0.302,
63,Saffron,0.14,
64,Muskmelon,0.66,1133
65,Cucumber,0.56,201
66,Cucurbita,0.66,1133
67,Cumin,0.57,
68,Turmeric,0.64,
69,Quince,1.01,350
70,Lemon grass,0.28,
71,Globe artichoke,0.71,350
73,Japanese persimmon,5.817,175
74,Cardamom,0.39,
75,Black crowberry,1.07,
76,Loquat,0.63,35
78,Wax apple,0.75,135
79,Common buckwheat,0.72,
80,Tartary buckwheat,0.72,
81,Fig,0.63,40
82,Fennel,0.39,
83,Strawberry,0.602,21.5
84,Black huckleberry,0.612,
85,Soy bean,0.75,
86,Sunflower,0.62,
88,Barley,0.65,
89,Hyssop,0.941,
90,Star anise,0.868,
91,Swamp cabbage,0.3,
92,Sweet potato,0.56,150
95,Lettuce,0.24,
96,Grass pea,0.61,
97,Sweet bay,1.18,
98,Lentils,0.81,
99,Garden cress,0.76,
100,Lovage,1.036,
101,Flaxseed,0.71,
102,Mexican oregano,0.2,
103,Lichee,0.8,10
104,Lupine,0.76,
105,Apple,0.75,85
106,Mango,0.7,150
107,German camomile,1.02,
108,Lemon balm,0.9,
109,Mentha,0.812,
111,Cornmint,0.892,
112,Spearmint,0.11,
113,Peppermint,0.11,
114,Medlar,0.773,15
115,Bitter gourd,0.39,110
116,Mulberry,0.68,
117,Black mulberry,0.68,
118,Nutmeg,0.47,
119,Sweet basil,0.1,
120,Evening primrose,0.926,
121,Olive,0.57,5.5
122,Sweet marjoram,0.11,
124,Common oregano,0.2,
125,Rice,0.77,
126,Millet,0.75,
127,Poppy,0.6,
128,Passion fruit,1,35
129,Parsnip,0.56,160
130,Avocado,0.86,215
131,Parsley,0.26,
132,Scarlet bean,0.48,
133,Lima bean,0.48,
135,Date,0.49,
137,Anise,0.45,
138,Pine nut,0.619,0.8
140,Pistachio,0.52,
141,Common pea,0.61,
142,Purslane,0.18,
144,Apricot,0.66,35
145,Sweet cherry,0.76,7
146,Sour cherry,0.76,7
147,European plum,0.7,66
148,Almond,0.62,1.1
149,Peach,0.65,130
150,Guava,0.82,175
151,Pomegranate,1.05,255.146
152,Pear,0.59,178
153,Radish,0.65,30
154,Garden rhubarb,0.52,
156,Redcurrant,0.47,0.605
157,Gooseberry,0.46,4.5
158,Watercress,0.14,
159,Rosemary,0.22,
161,Cloudberry,1.352,
162,Red raspberry,0.52,
163,Black raspberry,0.52,
164,Sorrel,0.637,
165,Common sage,0.14,
167,Summer savory,0.296,
168,Winter savory,0.296,
169,Rye,0.71,
170,Sesame,0.61,
171,Garden tomato,1.02,123
172,Cherry tomato,1.02,35
174,Eggplant,0.35,1360
175,Potato,1.067,210
176,Rowanberry,0.66,
177,Sorghum,0.81,
178,Spinach,0.13,
179,Cloves,0.43,
180,Tamarind,0.93,
181,Dandelion,0.23,
182,Cocoa bean,0.59,
183,Common thyme,0.29,
184,Linden,0.56,
185,Small-leaf linden,0.56,
186,Fenugreek,0.752,
189,Lowbush blueberry,0.63,0.3
190,Sparkleberry,0.63,
192,American cranberry,0.42,1.5
193,Bilberry,0.63,0.3
194,Lingonberry,0.63,
195,Vanilla,0.88,
196,Common verbena,0.14,
198,Adzuki bean,0.832,
199,Gram bean,0.69,
200,Mung bean,0.44,
201,Climbing bean,0.44,
203,Muscadine grape,0.39,9.5
205,Corn,0.9,250
206,Ginger,0.41,
208,Banana,1.19,118
209,Bayberry,0.63,
210,Elliott's blueberry,0.63,0.3
211,Canada blueberry,0.63,0.3
213,Buffalo currant,0.47,
215,Celery stalks,0.508,
218,Deerberry,0.63,
219,Ginseng,0.455,
223,Pepper (Capsicum),0.47,135
224,Longan,0.519,12.5
233,Pepper (Capsicum),0.47,135
234,Rambutan,0.36,40
235,Red rice,0.77,
237,Swiss chard,0.74,
241,Welsh onion,0.403,135.3
242,Hard wheat,0.81,
243,Shallot,0.68,36.85
244,Rocket salad,0.08,
245,Carrot,0.46,61
246,Triticale,0.81,
251,Komatsuna,0.3,
252,Pak choy,0.3,
256,Grapefruit,0.84,265
257,Jostaberry,0.63,0.3
258,Kai-lan,0.37,
266,Pineappple sage,0.14,
267,Skunk currant,0.47,
268,Beer,1.017,
270,Breakfast cereal,0.24,
274,Pasta,0.52,
275,Biscuit,0.5,3.4
276,Sourdough,0.245,
277,Spirit,0.94,
280,Abalone,1.067,300
281,Abiyuch,0.96,114
282,Acerola,0.41,10
283,Acorn,0.512,4.525
284,Winter squash,0.87,1020
285,Agar,0.81,
286,Red king crab,0.96,2900
287,Alfalfa,0.26,
288,Allspice,0.41,
289,Amaranth,0.82,
290,Arrowhead,0.59,
291,Arrowroot,0.54,
293,Atlantic herring,0.59,680
294,Atlantic mackerel,0.59,1900
295,Painted comber,1.06,8200
296,Atlantic pollock,1.06,4300
297,Atlantic wolffish,1.06,9000
298,Bamboo shoots,0.64,
299,Striped bass,1.06,9070
301,Beech nut,0.545,2
302,Beluga whale,1.06,250
303,Bison,1.036,250
305,Alaska blackfish,1.06,200
307,Blue mussel,0.63,32.5
308,Northern bluefin tuna,0.98,235000
309,Bluefish,1.06,7900
310,Wild boar,0.872,250
311,Bowhead whale,1.06,250
312,Breadfruit,0.93,3150
314,Rapini,0.168,
316,Buffalo,,250
317,Burbot,1.06,6500
318,Giant butterbur,0.396,
319,American butterfish,1.06,566
320,Butternut,0.87,1250
321,Butternut squash,0.87,
322,Calabash,0.49,3000
323,Cardoon,0.75,
325,Natal plum,0.63,100
326,Carob,0.732,
327,Common carp,1.04,8000
328,Cassava,0.872,1500
329,Channel catfish,1.04,1360
330,Chayote,0.56,203
331,Cherimoya,0.68,325
332,Chervil,0.13,
333,Chia,0.88,
334,Chicken,0.8,3650
336,Chinese chestnut,0.668,20
337,Chinese water chestnut,0.668,20
338,Garland chrysanthemum,0.104,
339,Cisco,1.06,1800
340,Nuttall cockle,1.06,
341,Coconut,0.35,1400
344,Common octopus,0.224,6500
345,Corn salad,0.3,
346,Cottonseed,0.32,
347,Catjang pea,0.3,
349,Squashberry,0.63,
350,Atlantic croaker,1.036,567
351,Cusk,1.06,3400
352,Cuttlefish,1.06,6750
353,Mule deer,1.1,250
354,Devilfish,1.06,6000
355,Dock,0.564,
356,Dolphin fish,1.06,14000
357,Freshwater drum,1.06,2725
358,Mallard duck,1.28,2041
360,Durian,1.03,2000
362,Freshwater eel,1.036,907
363,Elderberry,0.612,
364,Elk,1.1,250
365,Emu,,34500
366,Oregon yampah,0.23,
367,European anchovy,1.06,20
368,European chestnut,0.56,5
369,Turbot,1.06,14000
370,Fireweed,0.1,
