id_cdb,nome_cdb,id_fdb,nome_fdb,grupo,subgrupo
2008,Curry Powder,700,Curry powder,Herbs and Spices,Herb and spice mixtures
2037,Ketchup,781,Ketchup,Baking goods,Condiments
2049,Pie Crust,805,Pie crust,Baking goods,Wrappers
2056,Flour,825,Flour,Cereals and cereal products,Cereal products
2062,Adobo,783,Adobo,Baking goods,Seasonings
2067,Whitefish,514,Whitefish,Aquatic foods,Fishes
2072,Pollock,524,Pollock,Aquatic foods,Fishes
2073,Anchovy,580,Anchovy,Aquatic foods,Fishes
2075,Frybread,753,Frybread,Dishes,Other dishes
2076,Sturgeon,584,Sturgeon,Aquatic foods,Fishes
2077,Hibiscus Tea,748,Hibiscus tea,Teas,Herbal teas
2078,Deer,535,Deer,Animal foods,Venison
2080,Oat Bread,838,Oat bread,Cereals and cereal products,Leavened breads
2081,Pita Bread,829,Pita bread,Cereals and cereal products,Flat breads
2082,Raisin Bread,845,Raisin bread,Cereals and cereal products,Sweet breads
2083,Multigrain Bread,842,Multigrain bread,Cereals and cereal products,Leavened breads
2084,Cornbread,840,Cornbread,Cereals and cereal products,Flat breads
2087,Smelt,530,Smelt,Aquatic foods,Fishes
2088,Crab,587,Crab,Aquatic foods,Crustaceans
2089,Cooking Oil,804,Cooking oil,Baking goods,Baking goods
2090,Rice Cake,822,Rice cake,Dishes,Asian cuisine
2094,Whiting,515,Whiting,Aquatic foods,Fishes
2095,Buffalo,316,Buffalo,Animal foods,Bovines
2096,Catfish,619,Catfish,Aquatic foods,Fishes
2098,Rabbit,540,Rabbit,Animal foods,Lagomorphs
2099,Haddock,379,Haddock,Aquatic foods,Fishes
2100,Persimmon,608,Persimmon,Fruits,Tropical fruits
