id_cdb,nome_cdb,id_fdb,nome_fdb,grupo,subgrupo,aliases
3,Rye Bread,837,Rye bread,Cereals and cereal products,Leavened breads,bread-rye
5,White Bread,1019,White bread,Cereals and cereal products,Cereals,bread-white; baguette
9,Beer,268,Beer,Beverages,Fermented beverages,beer; lager
23,Gin,642,Gin,Beverages,Distilled beverages,gin
24,Rum,646,Rum,Beverages,Distilled beverages,rum
25,Whisky,640,Whisky,Beverages,Distilled beverages,whisky; whiskey
38,Port Wine,647,Port wine,Beverages,Fortified wines,port-wine; vinho do porto
39,Red Wine,943,Red wine,Beverages,Fermented beverages,wine-red
40,Rose Wine,952,Rosé wine,Beverages,Fermented beverages,rose-wine; rosada
41,Sake,763,Sake,Beverages,Fermented beverages,sake
42,Sherry,649,Sherry,Beverages,Fortified wines,sherry
45,White Wine,949,White wine,Beverages,Fermented beverages,wine-white
46,Coffee,58,Coffee,Coffee and coffee products,Coffee,coffee
47,Mate,948,Mate,Herbs and Spices,Herbs,mate; yerba
48,Black Tea,939,Black tea,Teas,Teas,tea-black
49,Green Tea,940,Green tea,Teas,Teas,tea-green
51,Barley,88,Barley,Cereals and cereal products,Cereals,barley
55,Rice,125,Rice,Cereals and cereal products,Cereals,rice
56,Corn,205,Corn,Cereals and cereal products,Cereals,corn; corn=flour; corn=starch; maize=flour
57,Corn Oil,976,Corn oil,Herbs and Spices,Oilseed crops,corn oil
58,Popcorn,744,Popcorn,Snack foods,Snack foods,pop=corn
60,Butter,667,Butter,Milk and milk products,Other milk products,butter
61,Buttermilk,714,Buttermilk,Milk and milk products,Fermented milks,buttermilk
62,Cheese,631,Cheese,Milk and milk products,Fermented milk products,cheese
63,Blue Cheese,983,Blue cheese,Milk and milk products,Fermented milk products,cheese-blue
65,Cheddar Cheese,967,Cheddar Cheese,Milk and milk products,Fermented milk products,cheese-cheddar
67,Cottage Cheese,982,Cottage cheese,Milk and milk products,Fermented milk products,cheese-cottage
75,Mozzarella Cheese,965,Mozzarella cheese,Milk and milk products,Fermented milk products,cheese-mozzarella
78,Parmesan Cheese,968,Parmesan cheese,Milk and milk products,Fermented milk products,cheese-parmesan
84,Swiss Cheese,981,Swiss cheese,Milk and milk products,Fermented milk products,cheese-swiss
94,Yogurt,634,Yogurt,Milk and milk products,Fermented milk products,yogurt; curd; yoghurt
113,Lemon Grass,70,Lemon grass,Herbs and Spices,Herbs,lemon=grass
116,Lovage,100,Lovage,Herbs and Spices,Herbs,lovage
134,Clam,984,Clam,Aquatic foods,Bivalvia,clam
135,Crab,587,Crab,Aquatic foods,Crustaceans,#crab#
136,Crayfish,547,Crayfish,Aquatic foods,Crustaceans,cray=fish
137,Kelp,396,Kelp,Aquatic foods,Seaweed,kelp
143,Scallop,472,Scallop,Aquatic foods,Mollusks,scallop
145,Shrimp,546,Shrimp,Aquatic foods,Crustaceans,shrimp
147,Squid,545,Squid,Aquatic foods,Mollusks,squid
154,Fish Oil,1022,Fish oil,,,fish-oil
162,Apple,105,Apple,Fruits,Pomes,apple
164,Apricot,144,Apricot,Fruits,Drupes,apricot
165,Avocado,130,Avocado,Vegetables,Fruit vegetables,avocado
