id_cdb,nome_cdb,id_fdb,nome_fdb,grupo,subgrupo
0,Egg,633,Eggs,Eggs,Eggs
2,Bread,1019,White bread,Cereals and cereal products,Cereals
4,Wheaten Bread,836,Wheat bread,Cereals and cereal products,Leavened breads
6,Wholewheat Bread,836,Wheat bread,Cereals and cereal products,Leavened breads
7,Wort,,,,
8,Arrack,630,Liquor,Beverages,Distilled beverages
10,Bantu Beer,268,Beer,Beverages,Fermented beverages
11,Brandy,630,Liquor,Beverages,Distilled beverages
12,Anise Brandy,630,Liquor,Beverages,Distilled beverages
13,Apple Brandy,630,Liquor,Beverages,Distilled beverages
14,Armagnac Brandy,630,Liquor,Beverages,Distilled beverages
15,Blackberry Brandy,630,Liquor,Beverages,Distilled beverages
16,Cherry Brandy,630,Liquor,Beverages,Distilled beverages
17,Cognac Brandy,630,Liquor,Beverages,Distilled beverages
18,Papaya Brandy,630,Liquor,Beverages,Distilled beverages
19,Pear Brandy,630,Liquor,Beverages,Distilled beverages
20,Plum Brandy,630,Liquor,Beverages,Distilled beverages
21,Raspberry Brandy,630,Liquor,Beverages,Distilled beverages
22,Weinbrand Brandy,630,Liquor,Beverages,Distilled beverages
26,Bourbon Whisky,640,Whisky,Beverages,Distilled beverages
27,Canadian Whisky,640,Whisky,Beverages,Distilled beverages
28,Finnish Whisky,640,Whisky,Beverages,Distilled beverages
29,Japanese Whisky,640,Whisky,Beverages,Distilled beverages
30,Malt Whisky,640,Whisky,Beverages,Distilled beverages
31,Scotch,640,Whisky,Beverages,Distilled beverages
32,Wine,949,White wine,Beverages,Fermented beverages
33,Bilberry Wine,627,Berry wine,Beverages,Fermented beverages
34,Botrytized Wine,949,White wine,Beverages,Fermented beverages
35,Champagne,958,White champagne,Beverages,Alcoholic beverages
36,Cider,630,Liquor,Beverages,Distilled beverages
37,Plum Wine,627,Berry wine,Beverages,Fermented beverages
43,Sparkling Wine,949,White wine,Beverages,Fermented beverages
44,Strawberry Wine,627,Berry wine,Beverages,Fermented beverages
50,Roibos Tea,849,Greenthread tea,Teas,Herbal teas
52,Crispbread,1019,White bread,Cereals and cereal products,Cereals
53,Malt,88,Barley,Cereals and cereal products,Cereals
54,Oats,22,Oat,Cereals and cereal products,Cereals
59,Sweetcorn,205,Corn,Cereals and cereal products,Cereals
64,Camembert Cheese,631,Cheese,Milk and milk products,Fermented milk products
66,Comte Cheese,631,Cheese,Milk and milk products,Fermented milk products
68,Cream Cheese,966,Plain cream cheese,Milk and milk products,Fermented milk products
