id_composto,id_base
2001,206
2001,8
2002,61
2002,67
2003,106
2003,233
2003,8
2003,206
2003,68
2003,61
2003,97
2003,137
2003,82
2005,233
2005,8
2005,206
2005,68
2005,137
2005,82
2006,233
2006,67
2006,61
2007,8
2007,206
2007,179
2007,118
2007,118
2007,67
2007,61
2007,186
2007,586
2007,74
2009,186
2009,67
2009,67
2010,97
2010,206
2010,586
2010,179
2010,61
2010,82
2010,233
2011,74
2011,586
2011,179
2011,97
2011,61
2011,341
2011,586
2012,106
2012,67
2012,112
2012,206
2013,206
2013,8
2013,61
2014,179
2014,67
2014,586
2014,74
2014,61
2015,233
2015,61
2015,586
2015,179
2015,67
2016,825
2016,575
2016,670
2016,666
2017,632
2017,669
2019,825
2019,575
2019,685
2019,666
2021,633
2022,666
2022,40
2023,825
2023,575
2023,667
2024,825
2024,575
2024,667
2025,67
2025,233
2026,666
2026,233
2026,8
2026,124
2026,223
2026,183
2026,40
2026,6
2027,6
2027,245
2027,215
2027,243
2027,165
2027,883
2028,8
2028,206
2028,179
2028,118
2028,118
2028,67
2028,61
2028,186
2028,586
2028,74
2028,634
2029,245
2029,31
2029,205
2029,141
2029,223
2030,633
2030,645
2030,685
2031,685
2031,670
2031,206
2031,673
2031,6
2031,8
2031,586
2032,881
2032,645
2032,666
2032,633
2032,685
2033,6
2033,245
2033,215
2033,183
2033,97
2033,40
2033,171
2033,8
2034,966
2034,645
2036,119
2036,124
2036,159
2036,183
2039,85
2039,233
2039,8
2040,645
2040,171
2040,171
2040,171
2040,6
2040,673
2040,40
2040,670
2041,825
2041,575
2041,667
2041,670
2041,633
2042,825
2042,575
2042,670
2042,666
2043,233
2043,666
2043,645
2044,1000
2044,144
2044,135
2044,156
2044,81
2045,1000
2045,144
2045,135
2045,156
2045,81
2045,670
2046,456
2046,670
2051,6
2051,40
2051,8
2051,40
2051,124
2051,233
2051,119
2051,223
2051,183
2051,666
2052,586
2052,90
2052,82
2052,40
2052,179
2053,97
2053,215
2053,666
2053,673
2053,40
2053,206
2053,223
2053,40
2053,118
2053,179
2053,288
2053,233
2053,118
2053,74
2053,586
2054,233
2054,8
2054,666
2054,670
2054,67
2055,575
2055,670
2055,643
2057,8
2057,669
2057,6
2057,995
2057,666
2057,131
2057,40
2057,13
2058,165
2058,183
2058,122
2058,159
2058,118
2058,40
2059,170
2059,121
2060,159
2060,82
2060,131
2060,168
2060,124
2060,183
2060,19
2060,119
2060,97
2060,122
2061,825
2061,575
2061,670
2061,666
2061,667
2061,808
2061,685
2068,614
2101,105
2101,105
2101,54
2101,670
