id,nome
4,Cyanidin 3-(6''-acetyl-galactoside)
13,Cyanidin 3-(6''-succinyl-glucoside)
14,Pelargonidin 3-(6''-succinyl-glucoside)
24,Petunidin 3-O-(6''-acetyl-galactoside)
25,Peonidin 3-(6''-acetyl-galactoside)
27,Malvidin 3-(6''-acetyl-galactoside)
31,Pelargonidin 3-arabinoside
35,Peonidin 3-(6''-p-coumaroyl-glucoside)
40,Delphinidin 3-xyloside
41,Petunidin 3-(6''-p-coumaroyl-glucoside)
48,p-Coumaroyl vitisin A
52,Pinotin A
55,Malvidin 3-(6''-caffeoyl-glucoside)
64,Cyanidin 3-O-(6''-malonyl-3''-glucosyl-glucoside)
75,Delphinidin 3-feruloylglucoside
78,Luteolinidin
82,Butein
84,Phloretin-2'-O-(2''-O-xylosylglucoside)
85,3-Hydroxyphloretin 2'-O-xylosyl-glucoside
86,3-Hydroxyphloretin 2'-O-glucoside
95,ent-Gallocatechin 3-gallate
108,Procyanidin trimer EEC
115,Prodelphinidin trimer GC-GC-C
122,Prodelphinidin trimer GC-C-C
126,"Epicatechin-(2alpha->7,4alpha->8)-epicatechin 3-galactoside"
133,6-Geranylnaringenin
135,Luteolin 7-O-diglucuronide
136,Apigenin 6-C-arabinoside 8-C-glucoside
137,Apigenin 6-C-galactoside 8-C-arabinoside
138,Apigenin 7-O-glucuronide
139,Luteolin 7-malonylglucoside
144,Luteolin 7-O-(2-apiosyl-6-malonyl)-glucoside
146,Jaceosidin
148,Apigenin 7-O-(6''-malonyl-apiosyl-glucoside)
150,Chrysoeriol 7-O-(6''-malonyl-apiosyl-glucoside)
152,Apigenin 7-O-diglucuronide
154,Quercetin 3-O-xylosyl-glucuronide
162,Quercetin 3-O-glucosyl-xyloside
163,Quercetin 3-O-acetyl-rhamnoside
164,Kaempferol 3-O-glucosyl-rhamnosyl-galactoside
165,Kaempferol 3-O-glucosyl-rhamnosyl-glucoside
166,Quercetin 3-O-glucosyl-rhamnosyl-galactoside
167,Quercetin 3-O-glucosyl-rhamnosyl-glucoside
168,Quercetin 3-O-rhamnosyl-galactoside
173,"Quercetin 3,4',7-triglucoside"
176,"3,7-Dimethylquercetin"
178,Quercetin 3-O-diglucoside
188,"Kaempferol 3-O-(6""-malonyl-glucoside)"
189,"Quercetin 3-O-(6""-malonyl-glucoside) 7-O-glucoside"
201,Kaempferol 3-O-acetyl-glucoside
202,Quercetin 3-O-xylosyl-rutinoside
203,Kaempferol 3-O-xylosyl-rutinoside
207,Kaempferol 3-O-(6''-acetyl-galactoside) 7-O-rhamnoside
210,Kaempferol 3-O-(2''-rhamnosyl-galactoside) 7-O-rhamnoside
211,Kaempferol 3-O-(2''-rhamnosyl-6''-acetyl-galactoside) 7-O-rhamnoside
