id_ingrediente,id_composto,quantidade
287,3513,3100.0
287,13393,7400.0
287,8417,1.08
287,12163,0.58
287,1014,1.8
287,1224,26.0
287,3514,136.0
287,16258,12.9
287,3730,6.9
287,3517,0.0091
287,13403,0.09
287,13447,0.73
287,21594,100.0
287,21595,100.0
287,13831,8.0
287,14616,0.096
287,574,0.034
287,8323,0.563
287,14507,0.036
287,3524,6.0
287,3522,79.0
287,3519,27.0
287,3521,70.0
287,3583,0.157
287,3637,0.188
287,2890,2.0
287,11682,59.0
287,2942,8.0
287,21631,56.0
287,12763,234.0
287,12465,175.0
287,12400,140.0
287,1946,270.0
287,474,210.0
287,12002,130.0
287,465,150.0
148,21594,3100.0
148,21595,27000.0
148,3513,3000.0
148,13393,8000.0
148,565,24.0
148,8417,0.275
148,12163,0.8
148,1014,7.5
148,574,0.06
148,8323,0.47
148,14513,0.4
148,14507,0.096
148,1224,0.8
148,3524,2.0
148,3522,725.0
148,3514,256.0
148,3519,265.0
148,3521,491.0
148,16258,4.5
148,3583,0.78
148,3730,3.3
148,3636,0.0002
148,3637,2.5
148,3517,0.012
148,13403,0.002
148,13447,0.13
148,3716,4300.0
148,2890,38.0
148,11682,2380.0
148,2942,641.0
148,2928,75.0
148,11678,264.0
148,21631,26700.0
148,12763,7210.0
148,12465,189.0
148,12400,950.0
148,1946,1500.0
148,474,670.0
148,12686,190.0
148,12566,270.0
148,14708,1200.0
148,446,590.0
148,12002,630.0
148,2250,210.0
148,465,1100.0
148,2257,2400.0
148,11859,550.0
148,556,1100.0
148,12570,2400.0
148,12538,5700.0
148,484,1400.0
148,570,1000.0
148,12742,950.0
580,21594,3300.0
580,21595,4300.0
580,1131,10000.0
580,3513,9600.0
580,13393,53000.0
580,13831,390.0
580,21596,0.014
580,565,0.9
580,8417,0.006
580,12163,0.12
580,1014,3.43
580,574,0.175
580,14507,0.016
580,13267,0.0035
580,3524,3606.0
580,3522,165.0
580,3514,145.0
580,3519,18.3
580,3521,210.0
580,16258,1.8
580,3583,0.16
580,3730,3.4
580,3636,0.03
580,3637,0.1
580,3517,0.002
580,13403,0.02
580,13447,0.005
580,3716,10000.0
580,3011,103.0
580,2890,797.0
580,10035,93.0
580,11682,2070.0
580,2942,279.0
580,11678,828.0
580,21631,2070.0
580,3772,506.0
580,4288,931.0
580,12763,259.0
580,11875,321.0
580,3103,962.0
580,3004,1140.0
580,13272,90.0
580,12400,710.0
580,1946,1100.0
580,474,1100.0
580,12686,410.0
580,12566,43.0
580,14708,580.0
580,446,490.0
580,12002,560.0
580,2250,140.0
580,465,790.0
580,2257,710.0
580,11859,300.0
580,556,770.0
580,12570,1300.0
580,12538,1500.0
580,484,790.0
580,570,540.0
580,12742,520.0
105,21594,100.0
105,21595,300.0
105,1131,56000.0
105,3513,200.0
105,13393,39800.0
105,1014,0.083
105,3716,59000.0
105,11682,83.0
105,2942,15.0
105,21631,15.0
105,12763,227.0
105,12465,61.0
105,12400,16.0
105,1946,26.0
105,474,24.0
105,12686,5.0
105,12566,2.0
105,14708,13.0
105,446,8.0
105,12002,14.0
105,2250,5.0
105,465,19.0
105,2257,11.0
105,11859,8.0
105,556,21.0
105,12570,150.0
105,12538,42.0
105,484,14.0
105,570,150.0
105,12742,21.0
105,565,0.01
105,8417,0.021
105,12163,0.017
105,574,0.03
105,8323,0.063
105,14507,0.00013
105,1224,0.9
105,3524,10.0
105,3522,80.0
105,3514,9.0
105,3519,4.5
105,3521,6.0
105,16258,0.3
105,3583,0.006
105,3730,0.039
105,3636,0.0007
105,3637,0.056
105,3517,0.0026
105,13403,0.000031
105,13447,0.00089
105,2890,2.0
105,13831,2.08
105,14616,0.025
105,12360,0.003
105,14513,0.3
105,12531,5860.0
105,12533,1680.0
144,1131,14900.0
144,3513,400.0
144,13393,81900.0
144,13831,65.4
144,14616,0.785
144,565,0.89
144,8417,0.016
144,12163,0.02
144,1014,0.454
144,574,0.054
144,8323,0.092
144,14507,0.002
144,1224,2.7
144,3524,4.0
144,3522,138.0
144,3514,11.0
144,3519,8.0
144,3521,13.0
144,16258,0.39
144,3583,0.079
144,3730,0.11
144,3637,0.052
144,3517,0.012
144,13403,0.0002
144,3716,14900.0
144,11682,3.0
144,21594,3.0
144,21631,22.0
144,21595,22.0
144,12763,10.0
144,12400,16.0
144,1946,31.0
144,474,37.0
144,12686,3.0
144,12566,2.0
144,14708,22.0
144,446,12.0
144,12002,19.0
144,2250,9.0
144,465,19.0
144,2257,21.0
144,11859,9.0
144,556,26.0
144,12570,120.0
144,12538,54.0
144,484,16.0
144,570,32.0
144,12742,31.0
144,14513,1.0
144,3636,0.0034
144,13447,0.12
144,12531,4500.0
144,12533,8100.0
144,2942,2.0
277,753,33300.0
277,13393,66200.0
277,3583,0.002
277,3730,0.014
71,3513,1100.0
71,13393,84900.0
71,13831,0.667
71,14616,0.008
71,565,0.35
71,8417,0.089
71,12163,0.06
71,1014,1.05
71,574,0.097
71,8323,0.295
71,1224,11.7
71,3524,27.0
71,3522,404.0
71,3514,60.0
71,3519,35.6
71,3521,72.3
71,16258,1.1
71,3636,0.0005
21,21594,100.0
21,21595,100.0
21,3513,500.0
21,13393,93300.0
21,13831,2.67
21,14616,0.032
21,565,0.3
21,12360,0.039
21,8417,0.11
21,12163,0.09
21,1014,1.25
21,574,0.06
21,8323,0.07
21,14513,0.2
21,14507,0.15
21,1224,12.0
21,3524,6.4
21,3522,202.0
21,3514,20.0
21,3519,8.9
21,3521,52.0
21,16258,0.5
21,3583,0.055
21,3730,0.44
21,3636,0.00015
21,13403,0.001
21,13447,0.018
21,12531,670.0
21,12533,320.0
21,1131,180.0
21,3716,1170.0
21,11682,60.0
21,2942,2.0
21,11678,1.0
21,21631,4.0
21,12763,134.0
21,12465,12.0
21,12400,55.0
21,1946,89.0
21,474,80.0
21,12686,22.0
21,12566,7.0
21,14708,52.0
21,446,43.0
21,12002,49.0
21,2250,15.0
21,465,89.0
21,2257,74.0
21,11859,34.0
21,556,140.0
21,12570,180.0
21,12538,410.0
21,484,65.0
21,570,120.0
21,12742,92.0
21,3637,0.14
21,3517,0.004
174,21595,100.0
174,3513,500.0
174,13393,93500.0
174,565,0.03
174,8417,0.05
174,12163,0.03
174,1014,0.933
174,574,0.08
174,8323,0.22
174,14507,0.027
174,1224,2.0
174,3524,3.0
174,3522,240.0
174,3514,8.4
174,3519,10.0
174,3521,30.3
174,16258,0.4
174,3583,0.08
174,3730,0.16
174,3636,0.00015
174,3637,0.25
174,3517,0.0007
174,13403,0.0002
174,13447,0.000395
174,12531,1400.0
