id,nome,grupo,subgrupo,densidade,peso_medio,composto
837,Rye bread,Cereals and cereal products,Leavened breads,0.245,800.0,0
1019,White bread,Cereals and cereal products,Cereals,0.245,1,0
268,Beer,Beverages,Fermented beverages,1.017,1,0
642,Gin,Beverages,Distilled beverages,0.94,1,0
646,Rum,Beverages,Distilled beverages,0.94,1,0
640,Whisky,Beverages,Distilled beverages,0.94,1,0
647,Port wine,Beverages,Fortified wines,0.99,1,0
943,Red wine,Beverages,Fermented beverages,0.995,1,0
952,Rosé wine,Beverages,Fermented beverages,0.995,1,0
763,Sake,Beverages,Fermented beverages,0.98,1,0
649,Sherry,Beverages,Fortified wines,0.997,1,0
949,White wine,Beverages,Fermented beverages,0.995,1,0
58,Coffee,Coffee and coffee products,Coffee,1.0,1,0
948,Mate,Herbs and Spices,Herbs,0.41,1,0
939,Black tea,Teas,Teas,1.0,1,0
940,Green tea,Teas,Teas,1.0,1,0
88,Barley,Cereals and cereal products,Cereals,0.65,1,0
125,Rice,Cereals and cereal products,Cereals,0.77,1,0
205,Corn,Cereals and cereal products,Cereals,0.9,250.0,0
976,Corn oil,Herbs and Spices,Oilseed crops,0.9185,1,0
744,Popcorn,Snack foods,Snack foods,0.05,1,0
667,Butter,Milk and milk products,Other milk products,1.04,1,0
714,Buttermilk,Milk and milk products,Fermented milks,1.04,1,0
631,Cheese,Milk and milk products,Fermented milk products,1.0755,1,0
983,Blue cheese,Milk and milk products,Fermented milk products,1.0755,1,0
967,Cheddar Cheese,Milk and milk products,Fermented milk products,1.0755,1,0
982,Cottage cheese,Milk and milk products,Fermented milk products,1.0755,1,0
965,Mozzarella cheese,Milk and milk products,Fermented milk products,1.0755,1,0
968,Parmesan cheese,Milk and milk products,Fermented milk products,1.0755,1,0
981,Swiss cheese,Milk and milk products,Fermented milk products,1.0,50.0,0
634,Yogurt,Milk and milk products,Fermented milk products,1.05,1,0
70,Lemon grass,Herbs and Spices,Herbs,0.28,1,0
100,Lovage,Herbs and Spices,Herbs,1.036,1,0
984,Clam,Aquatic foods,Bivalvia,0.96,1,0
587,Crab,Aquatic foods,Crustaceans,0.96,136.0,0
547,Crayfish,Aquatic foods,Crustaceans,0.59,3500.0,0
396,Kelp,Aquatic foods,Seaweed,0.34,1,0
472,Scallop,Aquatic foods,Mollusks,0.52,13.0,0
546,Shrimp,Aquatic foods,Crustaceans,0.16,19.0,0
545,Squid,Aquatic foods,Mollusks,0.59,150.0,0
1022,Fish oil,,,0.93,1,0
105,Apple,Fruits,Pomes,0.75,85.0,0
144,Apricot,Fruits,Drupes,0.66,35.0,0
130,Avocado,Vegetables,Fruit vegetables,0.86,215.0,0
208,Banana,Fruits,Tropical fruits,1.19,118.0,0
331,Cherimoya,Fruits,Tropical fruits,0.68,325.0,0
341,Coconut,Fruits,Tropical fruits,0.35,1400.0,0
360,Durian,Fruits,Tropical fruits,1.03,2000.0,0
363,Elderberry,Fruits,Berries,0.612,1,0
558,Feijoa,Fruits,Tropical fruits,1.03,100.0,0
81,Fig,Fruits,Other fruits,0.63,40.0,0
374,Grape,Fruits,Berries,0.39,9.5,0
150,Guava,Fruits,Tropical fruits,0.82,175.0,0
389,Jackfruit,Fruits,Tropical fruits,0.64,6750.0,0
76,Loquat,Fruits,Tropical fruits,0.63,35.0,0
106,Mango,Fruits,Tropical fruits,0.7,150.0,0
814,Naranjilla,Fruits,Tropical fruits,0.51,168.0,0
41,Papaya,Fruits,Tropical fruits,0.965,680.0,0
149,Peach,Fruits,Drupes,0.65,130.0,0
152,Pear,Fruits,Pomes,0.59,178.0,0
449,Prickly pear,Fruits,Tropical fruits,0.628,125.0,0
12,Pineapple,Fruits,Tropical fruits,0.7,1587.57,0
69,Quince,Fruits,Pomes,1.01,350.0,0
468,Sapodilla,Fruits,Tropical fruits,1.02,150.0,0
488,Soursop,Fruits,Tropical fruits,0.952,5500.0,0
180,Tamarind,Fruits,Tropical fruits,0.93,1,0
193,Bilberry,Fruits,Berries,0.63,0.3,0
938,Blackberry,Fruits,Berries,0.66,7.0,0
146,Sour cherry,Fruits,Drupes,0.76,7.0,0
145,Sweet cherry,Fruits,Drupes,0.76,7.0,0
161,Cloudberry,Fruits,Berries,1.352,1,0
157,Gooseberry,Fruits,Berries,0.46,4.5,0
194,Lingonberry,Fruits,Berries,0.63,1,0
405,Loganberry,Fruits,Berries,0.62,1,0
83,Strawberry,Fruits,Berries,0.602,21.5,0
256,Grapefruit,Fruits,Citrus,0.84,265.0,0
398,Kumquat,Fruits,Tropical fruits,1.016,20.0,0
54,Lemon,Fruits,Citrus,0.95,120.0,0
53,Lime,Fruits,Citrus,0.912,70.0,0
195,Vanilla,Herbs and Spices,Spices,0.88,1,0
883,Mushrooms,Vegetables,Mushrooms,0.296,25.0,0
